0.0429,-0.0039,-1.014
0.0507,-0.0039,-1.0062
0.0507,0.0,-1.0101
0.0468,0.0,-1.0062
0.0429,0.0039,-1.0101
0.0468,0.0078,-1.0062
0.0468,0.0039,-1.0023
0.0468,0.0039,-1.0023
0.0507,0.0078,-1.0062
0.0507,0.0078,-1.0218
0.0546,0.0117,-1.0062
0.0468,0.0078,-1.0101
0.0468,0.0,-1.014
0.0507,0.0078,-1.014
0.0546,0.0117,-0.9984
0.0507,0.0039,-0.9984
0.0546,0.0039,-0.9945
0.0429,-0.0078,-0.9984
0.0429,-0.0039,-1.0062
0.0468,-0.0039,-0.9867
0.0429,0.0,-0.9828
0.0468,0.0039,-0.9711
0.0429,0.0,-0.9828
0.0468,0.0,-0.9906
0.039,0.0078,-0.9711
0.0468,0.0156,-0.9711
0.0507,0.0117,-0.975
0.0507,0.0039,-0.9906
0.0546,0.0117,-1.0023
0.0507,0.0078,-0.9867
0.0468,0.0039,-0.9828
0.0468,0.0,-0.9906
0.0585,-0.0039,-0.9867
0.0468,-0.0039,-0.9984
0.039,0.0,-0.9906
0.0351,0.0039,-0.9789
0.0468,0.0,-0.9945
0.0468,0.0,-0.9984
0.0507,0.0039,-1.0023
0.0468,0.0039,-0.9984
0.0429,0.0039,-1.0101
0.0546,0.0078,-1.0023
0.0429,0.0,-1.0179
0.0507,-0.0078,-1.014
0.0468,0.0078,-1.0101
0.0546,0.0117,-1.0062
0.0468,0.0,-1.0101
0.0585,0.0,-1.0062
0.0546,0.0078,-1.014
0.0468,-0.0039,-1.0179
0.0585,0.0,-1.014
0.0507,-0.0078,-1.0101
0.0507,-0.0039,-1.0023
0.0468,0.0039,-1.0101
0.0468,-0.0039,-0.9984
0.0546,0.0,-1.014
0.0468,0.0039,-0.9984
